name,url,category,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Knowledge & Skills,K
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Knowledge & Skills,K
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Knowledge & Skills,K
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Knowledge & Skills,K
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Knowledge & Skills,K
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Knowledge & Skills,K
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Knowledge & Skills,K
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Knowledge & Skills,K
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Knowledge & Skills,K
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Knowledge & Skills,K
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Knowledge & Skills,K
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Knowledge & Skills,K
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Knowledge & Skills,K
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Knowledge & Skills,K
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Knowledge & Skills,K
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Knowledge & Skills,K
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Knowledge & Skills,K
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Knowledge & Skills,K
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Knowledge & Skills,K
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Knowledge & Skills,K
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Knowledge & Skills,K
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Knowledge & Skills,K
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Knowledge & Skills,K
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Knowledge & Skills,K
